flight_id,year,month,day_of_week,airline,origin_airport,destination_airport,scheduled_departure_hour,flight_distance_km,aircraft_turnaround_delay_min,weather_condition,wind_speed_kmh,airport_congestion_index,arrival_delay_minutes,delay_risk_class
FL100026,2023,6,1,WN,JFK,DEN,13,4288,15.3,Rain,31,64,6,Low_Risk
FL100027,2023,10,5,WN,DFW,ATL,4,3871,3.9,Clear,20,89,32,Moderate_Risk
FL100028,2022,10,5,DL,DFW,DFW,7,1668,9.4,Clear,8,20,-1,Low_Risk
FL100029,2022,4,7,WN,ORD,ATL,19,2916,2.1,Clear,0,81,34,Moderate_Risk
FL100030,2023,9,1,WN,JFK,DFW,9,3651,7.5,Snow,57,86,53,High_Risk
FL100031,2022,6,2,WN,DFW,SFO,2,1433,13.5,Clear,43,53,6,Low_Risk
FL100032,2022,7,7,DL,SFO,SEA,7,2739,23.6,Storm,19,41,106,High_Risk
FL100033,2023,4,5,AA,DFW,ATL,2,1055,18.5,Clear,57,55,7,Low_Risk
FL100034,2023,10,3,B6,LAX,ATL,14,3942,8.7,Storm,47,80,104,High_Risk
FL100035,2022,3,3,DL,ORD,JFK,20,4363,17.1,Rain,13,29,8,Low_Risk
FL100036,2022,1,7,AA,LAX,LAX,14,633,4.5,Clear,5,52,-1,Low_Risk
FL100037,2023,1,1,UA,SFO,DFW,23,2034,0.7,Storm,53,31,49,High_Risk
FL100038,2023,12,4,WN,ORD,DEN,22,3441,7.5,Clear,24,21,6,Low_Risk
FL100039,2022,1,2,UA,SEA,ATL,11,1551,20.9,Clear,11,52,13,Low_Risk
FL100040,2023,5,1,DL,ORD,ORD,1,4447,3.4,Rain,23,34,0,Low_Risk
FL100041,2023,2,1,AA,ORD,SEA,11,474,15.3,Rain,53,29,7,Low_Risk
FL100042,2022,4,6,WN,ORD,ORD,11,4231,2.3,Clear,18,60,4,Low_Risk
FL100043,2022,7,7,WN,ORD,ORD,20,2571,2.3,Rain,22,83,15,Low_Risk
FL100044,2022,2,3,AA,SFO,DEN,3,1440,0.6,Storm,5,52,29,Moderate_Risk
FL100045,2023,9,1,DL,ATL,ATL,8,4409,0.8,Rain,11,24,-1,Low_Risk
FL100046,2022,2,1,AA,ORD,ORD,3,3244,9.2,Rain,22,85,41,Moderate_Risk
FL100047,2022,12,3,AA,DFW,DFW,19,1381,6.9,Clear,32,54,4,Low_Risk
FL100048,2022,4,3,B6,ORD,JFK,17,794,5.3,Clear,14,72,20,Moderate_Risk
FL100049,2022,2,1,AA,JFK,SEA,20,2352,3.2,Clear,41,75,22,Moderate_Risk
FL100050,2023,5,4,AA,DFW,SEA,18,2572,16.7,Rain,22,78,38,Moderate_Risk
FL100051,2023,8,3,B6,SFO,SEA,2,941,2.5,Clear,21,69,-3,Low_Risk
FL100052,2023,4,7,WN,SEA,LAX,16,4404,12.2,Clear,5,84,12,Low_Risk
FL100053,2023,11,5,WN,SEA,SFO,10,1277,1.1,Clear,22,72,36,Moderate_Risk
FL100054,2022,4,5,WN,DFW,LAX,5,3709,1.7,Snow,49,55,39,Moderate_Risk
FL100055,2023,1,6,B6,JFK,DEN,13,2027,10.8,Clear,47,79,6,Low_Risk
FL100056,2022,9,2,B6,SFO,DEN,3,329,9.4,Clear,58,41,6,Low_Risk
FL100057,2023,9,3,DL,ORD,DEN,2,3025,1.1,Clear,49,84,28,Moderate_Risk
FL100058,2022,10,6,DL,LAX,DFW,7,2419,1.1,Clear,23,44,-1,Low_Risk
FL100059,2022,10,7,WN,SEA,ATL,2,2311,26.0,Clear,42,60,18,Moderate_Risk
FL100060,2022,9,5,DL,JFK,DFW,10,2644,12.0,Rain,40,75,24,Moderate_Risk
FL100061,2023,6,2,AA,SFO,SFO,16,1631,10.0,Clear,32,86,19,Moderate_Risk
FL100062,2023,12,5,DL,SFO,SEA,16,3489,4.7,Clear,59,71,44,Moderate_Risk
FL100063,2022,7,4,B6,LAX,LAX,3,1784,14.1,Snow,9,61,30,Moderate_Risk
FL100064,2022,11,3,UA,JFK,ATL,1,1481,2.1,Clear,7,35,-4,Low_Risk
FL100065,2022,7,4,UA,LAX,DFW,7,616,7.6,Clear,49,66,-4,Low_Risk
FL100066,2023,12,5,AA,LAX,JFK,22,415,11.0,Clear,43,93,37,Moderate_Risk
FL100067,2023,2,1,B6,SFO,ORD,8,1218,22.8,Snow,23,81,85,High_Risk
FL100068,2022,11,5,UA,SFO,SEA,6,1305,13.3,Clear,0,80,25,Moderate_Risk
FL100069,2023,2,6,DL,LAX,ATL,8,1704,2.3,Rain,49,74,42,Moderate_Risk
FL100070,2023,11,7,WN,ATL,SFO,11,1780,2.3,Rain,53,69,-2,Low_Risk
FL100071,2022,3,3,UA,JFK,SFO,22,2520,4.2,Rain,12,34,1,Low_Risk
FL100072,2023,5,1,WN,SFO,JFK,13,3669,14.2,Clear,5,50,9,Low_Risk
FL100073,2023,6,1,DL,LAX,JFK,9,2219,2.3,Clear,31,59,-2,Low_Risk
FL100074,2023,5,5,DL,LAX,ORD,22,4277,5.5,Clear,13,42,-2,Low_Risk
FL100075,2022,9,5,UA,DFW,ATL,22,2925,1.8,Clear,29,63,-3,Low_Risk
FL100076,2023,10,5,WN,LAX,JFK,0,4264,0.3,Rain,35,48,8,Low_Risk
FL100077,2022,12,7,UA,SEA,DEN,0,546,1.3,Storm,19,33,38,Moderate_Risk
FL100078,2023,7,4,DL,SEA,LAX,8,4199,8.3,Rain,51,43,0,Low_Risk
FL100079,2022,12,4,DL,ATL,DFW,12,3016,1.1,Rain,34,81,34,Moderate_Risk
FL100080,2023,2,2,UA,ORD,DEN,11,1581,2.5,Rain,53,42,7,Low_Risk
FL100081,2023,4,4,DL,ATL,SFO,4,2635,0.7,Rain,41,63,-5,Low_Risk
FL100082,2023,2,3,UA,ORD,LAX,11,2413,6.1,Clear,56,43,-4,Low_Risk
FL100083,2023,9,6,WN,ORD,DFW,5,4364,18.6,Rain,22,45,9,Low_Risk
FL100084,2023,12,6,DL,SFO,DFW,21,4354,5.2,Clear,2,21,9,Low_Risk
FL100085,2023,2,2,DL,SFO,ATL,18,1546,28.6,Rain,47,74,51,High_Risk
FL100086,2023,7,2,UA,SEA,LAX,3,4390,17.3,Snow,38,48,31,Moderate_Risk
FL100087,2023,3,6,WN,SEA,SFO,18,4078,12.0,Clear,27,89,42,Moderate_Risk
FL100088,2022,1,5,UA,LAX,JFK,5,3864,16.7,Clear,40,33,6,Low_Risk
FL100089,2023,11,3,UA,JFK,ATL,21,1657,3.2,Rain,34,34,5,Low_Risk
FL100090,2023,5,2,B6,JFK,LAX,13,4279,8.5,Clear,41,96,10,Low_Risk
FL100091,2023,2,3,DL,ORD,DEN,20,678,20.8,Clear,24,89,35,Moderate_Risk
FL100092,2022,3,6,DL,SFO,ATL,18,2302,2.2,Rain,55,30,3,Low_Risk
FL100093,2023,1,3,WN,SFO,SFO,19,1081,24.3,Clear,13,39,13,Low_Risk
FL100094,2023,4,7,B6,ATL,SFO,4,3426,11.7,Storm,10,58,24,Moderate_Risk
FL100095,2023,4,7,B6,ATL,DEN,14,3640,19.8,Clear,0,65,2,Low_Risk
FL100096,2023,8,5,DL,ORD,SEA,0,2919,0.2,Storm,33,52,79,High_Risk
FL100097,2023,10,4,UA,JFK,JFK,3,418,35.3,Rain,42,49,25,Moderate_Risk
FL100098,2023,1,7,DL,ATL,ORD,2,2498,1.4,Rain,49,35,5,Low_Risk
FL100099,2023,10,4,B6,LAX,SEA,2,2634,1.4,Clear,46,67,8,Low_Risk
FL100100,2022,6,6,DL,ORD,DFW,11,2809,19.3,Clear,28,68,5,Low_Risk
FL100101,2023,9,5,DL,JFK,LAX,1,1487,9.1,Clear,42,49,1,Low_Risk
FL100102,2022,1,1,B6,SFO,LAX,0,3158,2.2,Clear,36,47,3,Low_Risk
FL100103,2022,5,6,AA,SEA,ORD,19,3170,12.2,Clear,31,81,20,Moderate_Risk
FL100104,2023,2,3,B6,SFO,LAX,15,2753,1.0,Clear,4,61,7,Low_Risk
FL100105,2023,8,7,WN,SEA,DFW,6,4397,8.5,Clear,27,94,17,Moderate_Risk
FL100106,2023,4,4,DL,ATL,JFK,8,4154,12.8,Storm,52,86,83,High_Risk
FL100107,2023,12,5,DL,LAX,DEN,21,786,0.9,Storm,28,56,46,High_Risk
FL100108,2022,7,5,DL,JFK,SEA,22,1539,6.5,Rain,57,23,-1,Low_Risk
FL100109,2023,10,4,B6,DEN,JFK,14,2428,4.5,Clear,20,25,8,Low_Risk
FL100110,2022,10,2,DL,ORD,ORD,9,2522,8.3,Rain,21,47,-3,Low_Risk
FL100111,2022,12,2,DL,DEN,SEA,9,1672,21.7,Snow,6,21,71,High_Risk
FL100112,2023,4,7,AA,JFK,SEA,8,3214,0.2,Rain,23,63,3,Low_Risk
FL100113,2023,9,1,AA,SEA,ATL,10,3892,5.3,Clear,47,99,14,Low_Risk
FL100114,2023,1,7,B6,SFO,DFW,21,2656,6.4,Clear,27,99,29,Moderate_Risk
FL100115,2023,5,1,UA,DFW,ORD,14,584,0.0,Rain,29,24,7,Low_Risk
FL100116,2022,6,2,DL,DEN,SEA,22,554,5.2,Clear,51,91,36,Moderate_Risk
FL100117,2023,5,3,DL,JFK,LAX,15,2450,1.0,Clear,47,88,40,Moderate_Risk
FL100118,2022,10,7,WN,ATL,SFO,16,420,5.1,Snow,51,98,47,High_Risk
FL100119,2022,8,4,B6,DFW,ORD,4,854,2.1,Clear,34,73,34,Moderate_Risk
FL100120,2022,12,6,AA,DEN,LAX,2,2058,4.1,Clear,44,44,4,Low_Risk
FL100121,2022,12,1,WN,SEA,LAX,3,3753,34.0,Rain,3,65,26,Moderate_Risk
FL100122,2023,3,2,B6,JFK,DFW,15,3558,2.8,Rain,18,37,6,Low_Risk
FL100123,2022,1,3,AA,DEN,LAX,23,316,8.3,Rain,9,26,8,Low_Risk
FL100124,2023,2,7,DL,ATL,DFW,7,3883,10.7,Clear,18,52,-5,Low_Risk
FL100125,2023,6,1,AA,SFO,LAX,1,2798,2.5,Clear,10,60,4,Low_Risk
FL100126,2023,8,7,DL,SEA,ORD,17,3600,14.9,Clear,31,32,-5,Low_Risk
FL100127,2022,7,5,WN,DFW,JFK,2,1239,6.3,Storm,55,83,71,High_Risk
FL100128,2022,1,2,UA,SFO,SEA,22,2103,27.0,Storm,22,75,97,High_Risk
FL100129,2023,3,1,UA,DEN,ORD,4,1121,2.8,Clear,24,65,-4,Low_Risk
FL100130,2022,1,4,AA,LAX,SEA,14,2930,5.8,Storm,10,89,80,High_Risk
FL100131,2022,8,6,WN,JFK,DEN,11,2601,0.0,Clear,55,96,17,Moderate_Risk
FL100132,2022,12,5,WN,ORD,DEN,11,936,10.2,Rain,31,74,36,Moderate_Risk
FL100133,2022,11,6,UA,JFK,JFK,9,2287,5.3,Rain,54,45,6,Low_Risk
FL100134,2023,3,7,AA,JFK,ATL,9,3798,7.0,Clear,18,71,20,Moderate_Risk
FL100135,2023,4,2,WN,DEN,JFK,3,3347,1.4,Rain,43,63,-2,Low_Risk
FL100136,2023,9,7,UA,DFW,SEA,14,2332,25.3,Rain,0,26,24,Moderate_Risk
FL100137,2023,11,3,UA,DEN,ORD,8,730,5.0,Rain,6,37,4,Low_Risk
FL100138,2022,9,7,WN,DFW,SEA,22,3834,6.2,Snow,52,86,102,High_Risk
FL100139,2023,4,5,UA,SFO,DFW,0,487,2.4,Clear,2,62,-4,Low_Risk
FL100140,2023,8,7,UA,SFO,ATL,16,2362,0.0,Storm,30,24,45,Moderate_Risk
FL100141,2023,9,6,UA,LAX,ATL,19,1027,21.3,Clear,56,40,7,Low_Risk
FL100142,2022,4,1,WN,SFO,ORD,21,3132,13.8,Clear,0,25,-5,Low_Risk
FL100143,2022,12,6,AA,ORD,SEA,16,1600,3.3,Clear,58,59,1,Low_Risk
FL100144,2023,3,7,UA,DFW,DFW,13,3239,9.8,Rain,15,82,28,Moderate_Risk
FL100145,2023,1,5,DL,ORD,ATL,12,1034,10.1,Rain,4,36,5,Low_Risk
FL100146,2022,6,7,DL,DFW,ORD,20,2351,8.4,Clear,39,83,20,Moderate_Risk
FL100147,2022,12,7,UA,ATL,SFO,19,480,2.1,Clear,36,76,26,Moderate_Risk
FL100148,2022,10,4,AA,SFO,JFK,21,3703,3.7,Rain,57,76,31,Moderate_Risk
FL100149,2023,1,5,WN,SFO,SEA,23,1660,2.5,Clear,20,45,9,Low_Risk
FL100150,2022,4,4,B6,DFW,DEN,11,2171,2.4,Rain,18,85,36,Moderate_Risk
FL100151,2023,2,5,WN,DEN,JFK,9,3217,3.0,Rain,58,50,0,Low_Risk
FL100152,2022,5,2,WN,SFO,SFO,12,2378,16.0,Rain,10,65,3,Low_Risk
FL100153,2023,7,6,DL,ORD,JFK,8,3278,4.9,Rain,30,88,18,Moderate_Risk
FL100154,2023,4,6,AA,DFW,JFK,17,3392,35.5,Clear,1,23,19,Moderate_Risk
FL100155,2023,2,6,UA,ORD,JFK,11,520,6.8,Clear,57,87,16,Moderate_Risk
FL100156,2022,11,6,B6,LAX,ORD,10,978,1.2,Clear,32,91,22,Moderate_Risk
FL100157,2023,1,6,UA,SEA,DEN,18,580,33.3,Storm,46,70,78,High_Risk
FL100158,2023,11,2,DL,SEA,JFK,10,3868,3.8,Clear,25,84,34,Moderate_Risk
FL100159,2022,6,7,UA,SFO,LAX,17,2281,1.0,Storm,0,29,65,High_Risk
FL100160,2022,5,3,DL,SFO,JFK,17,1231,13.9,Clear,16,64,5,Low_Risk
FL100161,2023,2,3,B6,JFK,LAX,10,3736,3.4,Clear,48,64,2,Low_Risk
FL100162,2023,11,5,DL,JFK,ORD,7,1357,7.8,Rain,47,69,5,Low_Risk
FL100163,2023,11,6,DL,JFK,LAX,11,4273,15.4,Rain,53,74,11,Low_Risk
FL100164,2022,3,4,AA,ATL,DEN,10,307,4.5,Clear,48,31,6,Low_Risk
FL100165,2022,4,5,UA,LAX,ATL,14,3426,1.2,Storm,25,54,72,High_Risk
FL100166,2022,11,5,WN,LAX,JFK,21,2716,14.8,Clear,5,89,36,Moderate_Risk
FL100167,2022,9,4,UA,ORD,DEN,13,1081,3.1,Rain,46,76,20,Moderate_Risk
FL100168,2022,8,7,DL,SEA,SFO,14,2206,2.4,Rain,10,47,5,Low_Risk
FL100169,2022,6,7,B6,DFW,SFO,6,3969,3.6,Rain,37,94,39,Moderate_Risk
FL100170,2022,8,5,WN,JFK,SFO,15,1959,6.5,Storm,24,71,109,High_Risk
FL100171,2022,10,2,DL,DEN,LAX,21,3836,2.8,Rain,23,22,5,Low_Risk
FL100172,2022,5,3,B6,DEN,SFO,6,3557,1.1,Clear,20,65,3,Low_Risk
FL100173,2022,1,5,AA,DEN,ATL,22,1887,6.2,Clear,11,59,0,Low_Risk
FL100174,2023,2,3,WN,DFW,LAX,22,2901,6.0,Storm,27,39,65,High_Risk
FL100175,2022,4,7,UA,DEN,DFW,16,1855,0.8,Storm,40,72,84,High_Risk
FL100176,2022,9,6,UA,SFO,ATL,3,343,3.4,Rain,47,46,3,Low_Risk
FL100177,2022,7,2,AA,SFO,JFK,3,1000,8.4,Rain,25,76,30,Moderate_Risk
FL100178,2023,1,3,AA,ATL,LAX,18,3896,8.2,Rain,15,70,-2,Low_Risk
FL100179,2023,3,1,UA,DEN,SEA,19,3233,6.7,Clear,12,36,9,Low_Risk
FL100180,2022,11,2,WN,DFW,DEN,13,3419,6.2,Storm,53,30,42,Moderate_Risk
FL100181,2022,6,1,UA,ATL,DEN,17,4228,8.8,Clear,23,59,1,Low_Risk
FL100182,2023,5,5,WN,ORD,ORD,10,1340,19.1,Clear,58,79,20,Moderate_Risk
FL100183,2023,5,3,AA,SEA,ORD,13,2518,26.8,Clear,44,67,32,Moderate_Risk
FL100184,2023,8,4,AA,DFW,JFK,18,836,1.1,Clear,22,94,40,Moderate_Risk
FL100185,2023,5,4,AA,SEA,DEN,14,1985,10.4,Rain,53,34,1,Low_Risk
FL100186,2022,2,3,WN,ORD,DEN,9,1441,11.1,Storm,10,97,103,High_Risk
FL100187,2022,12,4,UA,JFK,JFK,0,2185,36.0,Clear,49,62,10,Low_Risk
FL100188,2023,3,6,AA,LAX,LAX,10,354,3.8,Rain,11,33,-5,Low_Risk
FL100189,2022,8,4,B6,ATL,DEN,0,3628,20.2,Rain,13,20,28,Moderate_Risk
FL100190,2022,9,1,DL,DEN,DFW,13,1407,5.7,Rain,50,87,12,Low_Risk
FL100191,2022,7,1,B6,LAX,LAX,2,878,2.0,Rain,7,24,1,Low_Risk
FL100192,2023,6,4,DL,DEN,LAX,0,1290,6.3,Snow,32,39,29,Moderate_Risk
FL100193,2023,12,1,AA,ORD,ATL,19,1319,18.4,Clear,18,95,24,Moderate_Risk
FL100194,2023,4,4,AA,ATL,LAX,7,4411,7.4,Storm,24,20,34,Moderate_Risk
FL100195,2023,7,6,WN,JFK,JFK,19,1052,3.6,Rain,20,44,-4,Low_Risk
FL100196,2023,1,6,DL,ATL,DEN,4,1145,19.4,Clear,37,26,-5,Low_Risk
FL100197,2022,7,1,B6,ATL,LAX,18,2963,10.2,Rain,3,48,3,Low_Risk
FL100198,2023,1,4,AA,ORD,DFW,4,4034,10.5,Clear,35,28,9,Low_Risk
FL100199,2022,10,5,AA,DFW,JFK,6,1348,5.0,Storm,39,89,47,High_Risk
FL100200,2023,7,7,AA,ORD,SEA,13,4108,8.5,Rain,50,29,2,Low_Risk
FL100201,2023,11,5,AA,SFO,JFK,19,3453,3.2,Rain,56,27,-5,Low_Risk
FL100202,2022,6,7,AA,ATL,DFW,17,2393,2.3,Clear,18,95,13,Low_Risk
FL100203,2022,10,1,WN,SEA,ATL,0,543,4.6,Clear,7,43,9,Low_Risk
FL100204,2023,10,1,DL,SEA,ORD,7,1312,6.1,Clear,48,50,-4,Low_Risk
FL100205,2023,11,6,AA,DEN,LAX,16,3046,15.7,Clear,8,57,7,Low_Risk
FL100206,2023,2,3,AA,ORD,JFK,17,632,4.0,Clear,45,48,-5,Low_Risk
FL100207,2022,2,5,WN,LAX,DFW,19,3988,1.9,Clear,11,24,3,Low_Risk
FL100208,2023,5,5,UA,SEA,SEA,5,4308,0.6,Storm,7,44,82,High_Risk
FL100209,2022,10,5,B6,ATL,ATL,5,2933,9.4,Rain,31,68,8,Low_Risk
FL100210,2022,6,1,AA,JFK,SEA,5,819,5.9,Clear,0,68,-5,Low_Risk
FL100211,2023,6,6,AA,ORD,ATL,10,2507,1.3,Clear,22,39,9,Low_Risk
FL100212,2023,1,7,B6,ORD,DEN,3,3251,23.9,Storm,47,57,61,High_Risk
FL100213,2023,9,3,B6,JFK,DFW,19,519,5.1,Clear,30,71,15,Low_Risk
FL100214,2023,6,2,B6,SFO,DFW,7,632,56.0,Rain,1,33,10,Low_Risk
FL100215,2022,9,4,AA,DFW,LAX,11,3311,9.5,Snow,38,50,42,Moderate_Risk
FL100216,2022,4,4,AA,SFO,SEA,8,889,1.6,Rain,26,82,37,Moderate_Risk
FL100217,2023,2,4,B6,LAX,LAX,22,1262,2.0,Clear,24,96,20,Moderate_Risk
FL100218,2022,11,1,DL,DEN,LAX,3,2312,5.7,Clear,47,59,4,Low_Risk
FL100219,2023,10,4,WN,DEN,DEN,11,3988,13.5,Clear,56,68,8,Low_Risk
FL100220,2023,7,3,WN,ORD,ORD,11,1539,26.8,Clear,23,48,6,Low_Risk
FL100221,2022,10,4,UA,SEA,ORD,8,1497,19.4,Clear,11,76,35,Moderate_Risk
FL100222,2023,8,7,DL,ATL,SFO,8,3889,6.1,Clear,40,76,37,Moderate_Risk
FL100223,2022,10,5,DL,ATL,LAX,19,1311,3.4,Clear,38,37,2,Low_Risk
FL100224,2023,8,3,AA,SFO,SEA,21,3417,9.1,Clear,8,21,3,Low_Risk
FL100225,2023,8,4,AA,ATL,DFW,21,3459,4.1,Clear,13,90,28,Moderate_Risk
FL100226,2023,9,1,DL,LAX,LAX,7,1864,12.5,Clear,27,83,15,Low_Risk
FL100227,2022,9,4,WN,ATL,LAX,15,1803,8.3,Rain,10,41,2,Low_Risk
FL100228,2023,11,3,WN,SEA,DEN,3,771,4.2,Rain,17,88,15,Low_Risk
FL100229,2022,2,4,WN,SEA,SEA,21,4288,3.7,Rain,53,22,-5,Low_Risk
FL100230,2022,2,1,DL,ORD,ORD,17,3295,12.9,Storm,37,96,28,Moderate_Risk
FL100231,2023,1,2,UA,ORD,SEA,5,771,0.7,Clear,40,36,2,Low_Risk
FL100232,2023,2,3,B6,DFW,ATL,17,3384,6.9,Storm,40,38,48,High_Risk
FL100233,2023,7,3,DL,JFK,SFO,6,2848,2.4,Clear,37,65,6,Low_Risk
FL100234,2022,8,1,WN,ATL,JFK,23,1905,16.8,Snow,21,78,61,High_Risk
FL100235,2023,1,7,WN,ORD,JFK,1,3192,2.0,Clear,45,37,-5,Low_Risk
FL100236,2023,7,1,B6,ORD,ATL,5,1923,8.0,Clear,17,34,0,Low_Risk
FL100237,2023,2,4,WN,ORD,SEA,15,2326,7.1,Rain,12,94,42,Moderate_Risk
FL100238,2023,2,3,WN,DEN,LAX,5,4027,34.3,Clear,29,76,57,High_Risk
FL100239,2023,1,1,DL,JFK,DEN,23,2069,7.6,Clear,32,81,22,Moderate_Risk
FL100240,2022,11,3,B6,ATL,LAX,10,1372,8.2,Clear,7,59,6,Low_Risk
FL100241,2022,12,4,B6,LAX,SEA,23,2446,47.7,Rain,3,75,33,Moderate_Risk
FL100242,2023,12,6,AA,JFK,SFO,7,1852,3.4,Clear,29,34,-2,Low_Risk
FL100243,2022,10,6,B6,SFO,SEA,1,3069,2.6,Clear,1,33,-2,Low_Risk
FL100244,2023,1,6,WN,DFW,ORD,6,1421,4.7,Rain,14,49,-1,Low_Risk
FL100245,2023,4,7,AA,ORD,ATL,18,1873,2.3,Rain,36,92,17,Moderate_Risk
FL100246,2022,5,3,B6,JFK,ATL,2,3762,12.6,Clear,8,94,45,Moderate_Risk
FL100247,2022,8,1,B6,JFK,LAX,7,849,15.1,Clear,40,69,-3,Low_Risk
FL100248,2022,11,6,AA,SFO,DFW,18,4168,11.9,Clear,54,31,-5,Low_Risk
FL100249,2023,8,1,WN,LAX,DFW,20,4210,44.7,Clear,44,56,4,Low_Risk
FL100250,2022,8,2,B6,LAX,ATL,18,4240,35.2,Clear,14,67,17,Moderate_Risk
FL100251,2023,2,1,UA,SFO,DEN,16,3782,18.0,Rain,43,54,-4,Low_Risk
FL100252,2022,10,6,AA,ATL,LAX,17,929,0.0,Clear,26,24,9,Low_Risk
FL100253,2022,1,4,UA,DFW,DEN,12,3583,9.7,Clear,19,84,30,Moderate_Risk
FL100254,2023,4,1,WN,ORD,DFW,15,4484,9.7,Storm,26,22,67,High_Risk
FL100255,2023,6,3,UA,SEA,ORD,1,3697,6.6,Clear,21,76,23,Moderate_Risk
FL100256,2023,8,2,DL,DEN,ORD,16,2947,19.2,Storm,26,49,36,Moderate_Risk
FL100257,2023,9,2,UA,LAX,ORD,13,2456,1.2,Storm,31,35,58,High_Risk
FL100258,2023,9,5,WN,JFK,ORD,6,4171,2.1,Clear,56,49,2,Low_Risk
FL100259,2023,7,5,UA,LAX,ORD,17,2512,29.2,Clear,27,71,54,High_Risk
FL100260,2023,1,4,WN,JFK,DFW,11,1647,3.3,Clear,22,44,1,Low_Risk
FL100261,2022,12,7,AA,DFW,LAX,7,3714,2.2,Clear,59,65,-3,Low_Risk
FL100262,2022,9,3,B6,LAX,ATL,6,1215,0.3,Clear,44,34,7,Low_Risk
FL100263,2022,6,1,WN,ORD,ATL,3,2494,5.7,Clear,10,83,19,Moderate_Risk
FL100264,2023,11,2,B6,SFO,SEA,6,2872,13.8,Clear,21,41,9,Low_Risk
FL100265,2023,12,3,AA,ORD,SEA,17,3895,2.6,Storm,28,48,45,Moderate_Risk
FL100266,2022,4,7,AA,JFK,DEN,5,3679,28.1,Rain,40,33,19,Moderate_Risk
FL100267,2023,2,6,UA,ATL,DFW,13,3349,15.6,Storm,16,95,82,High_Risk
FL100268,2023,2,7,UA,DEN,SEA,17,2362,38.2,Clear,12,74,61,High_Risk
FL100269,2023,8,2,DL,DFW,ORD,17,1160,25.6,Clear,17,43,8,Low_Risk
FL100270,2023,5,6,WN,JFK,LAX,22,4403,6.7,Clear,9,44,2,Low_Risk
FL100271,2022,5,2,DL,JFK,ATL,5,473,5.0,Clear,53,31,1,Low_Risk
FL100272,2022,10,6,DL,DFW,DEN,19,4108,2.1,Clear,20,36,-4,Low_Risk
FL100273,2023,9,5,B6,SFO,SEA,23,3490,18.6,Clear,52,55,6,Low_Risk
FL100274,2022,4,6,DL,DFW,LAX,18,1226,0.9,Clear,11,62,-2,Low_Risk
FL100275,2022,12,4,B6,DFW,JFK,21,1476,0.2,Clear,26,26,-5,Low_Risk
FL100276,2022,3,5,AA,JFK,JFK,15,1539,7.0,Rain,27,39,-4,Low_Risk
FL100277,2022,1,4,AA,LAX,DEN,11,3676,13.3,Clear,47,81,32,Moderate_Risk
